user_id,cnt
37,1
39,1
52,1
57,1
64,1
90,1
94,1
106,1
114,1
116,1
130,1
135,1
152,1
168,1
176,1
178,1
184,1
202,1
214,1
224,1
225,1
235,1
263,1
286,1
287,1
294,1
296,1
325,1
326,1
333,1
352,1
375,1
394,1
408,1
412,1
429,1
434,1
446,1
451,1
467,1
482,1
486,1
487,1
507,1
514,1
515,1
550,1
556,1
565,1
569,1
590,1
596,1
603,1
614,1
619,1
626,1
637,1
657,1
662,1
671,1
677,1
681,1
691,1
696,1
703,1
719,1
729,1
739,1
746,1
757,1
766,1
774,1
777,1
796,1
815,1
826,1
830,1
843,1
848,1
850,1
852,1
854,1
856,1
861,1
864,1
873,1
880,1
881,1
889,1
893,1
902,1
906,1
907,1
915,1
918,1
920,1
923,1
925,1
941,1
942,1
946,1
947,1
950,1
952,1
966,1
970,1
971,1
974,1
979,1
984,1
987,1
989,1
991,1
996,1
1004,1
1005,1
1006,1
1007,1
1012,1
1013,1
1048,1
1064,1
1066,1
1074,1
1082,1
1096,1
1098,1
1100,1
1101,1
1102,1
1107,1
1119,1
1127,1
1130,1
1133,1
1151,1
1155,1
1162,1
1180,1
1182,1
1188,1
1189,1
1205,1
1206,1
1208,1
1210,1
1211,1
1214,1
1216,1
1217,1
1223,1
1226,1
1228,1
1234,1
1238,1
1241,1
1260,1
1261,1
1267,1
1268,1
1269,1
1276,1
1278,1
1283,1
1284,1
1292,1
1304,1
1314,1
1328,1
1346,1
1350,1
1355,1
1358,1
1359,1
1360,1
1365,1
1367,1
1372,1
1373,1
1374,1
1375,1
1377,1
1379,1
1381,1
1384,1
1385,1
1387,1
1393,1
1395,1
1396,1
1404,1
1408,1
1409,1
1414,1
1423,1
1427,1
1435,1
1436,1
1439,1
1445,1
1449,1
1452,1
1453,1
1455,1
1458,1
1463,1
1466,1
1468,1
1479,1
1483,1
1492,1
1498,1
1500,1
1503,1
1515,1
1517,1
1520,1
1525,1
1529,1
1535,1
1536,1
1551,1
15,2
17,2
24,2
30,2
43,2
48,2
71,2
111,2
115,2
123,2
124,2
127,2
128,2
129,2
133,2
166,2
174,2
221,2
226,2
250,2
252,2
256,2
257,2
315,2
332,2
341,2
349,2
356,2
373,2
386,2
407,2
438,2
455,2
478,2
481,2
498,2
503,2
506,2
509,2
510,2
526,2
534,2
557,2
561,2
562,2
599,2
610,2
628,2
649,2
655,2
665,2
687,2
697,2
731,2
734,2
735,2
737,2
810,2
812,2
829,2
847,2
860,2
862,2
879,2
884,2
891,2
905,2
913,2
926,2
931,2
934,2
938,2
951,2
959,2
965,2
968,2
977,2
983,2
986,2
988,2
997,2
998,2
1039,2
1041,2
1047,2
1056,2
1065,2
1111,2
1128,2
1175,2
1178,2
1199,2
1201,2
1215,2
1219,2
1222,2
1227,2
1236,2
1246,2
1256,2
1257,2
1264,2
1266,2
1270,2
1275,2
1277,2
1282,2
1286,2
1287,2
1288,2
1305,2
1307,2
1313,2
1316,2
1324,2
1325,2
1329,2
1330,2
1331,2
1333,2
1334,2
1335,2
1347,2
1361,2
1383,2
1388,2
1402,2
1403,2
1416,2
1437,2
1440,2
1447,2
1450,2
1459,2
1465,2
1473,2
1495,2
1497,2
1499,2
1502,2
1505,2
4,3
19,3
60,3
75,3
76,3
91,3
107,3
137,3
163,3
167,3
179,3
188,3
195,3
229,3
232,3
239,3
240,3
248,3
251,3
260,3
266,3
267,3
278,3
282,3
290,3
328,3
368,3
369,3
371,3
383,3
405,3
424,3
425,3
454,3
463,3
465,3
488,3
513,3
538,3
540,3
546,3
558,3
595,3
600,3
624,3
634,3
638,3
656,3
658,3
659,3
760,3
780,3
785,3
787,3
801,3
839,3
841,3
882,3
885,3
916,3
935,3
940,3
985,3
1001,3
1015,3
1028,3
1032,3
1040,3
1054,3
1058,3
1060,3
1099,3
1105,3
1116,3
1132,3
1149,3
1194,3
1198,3
1202,3
1204,3
1212,3
1213,3
1230,3
1253,3
1263,3
1273,3
1274,3
1279,3
1370,3
1380,3
1412,3
1421,3
1434,3
1441,3
1462,3
1470,3
1484,3
1541,3
23,4
72,4
99,4
117,4
144,4
159,4
162,4
190,4
204,4
218,4
220,4
230,4
237,4
246,4
303,4
338,4
340,4
345,4
359,4
361,4
389,4
390,4
398,4
404,4
430,4
448,4
453,4
457,4
477,4
484,4
505,4
523,4
536,4
629,4
653,4
670,4
676,4
679,4
716,4
738,4
741,4
744,4
778,4
782,4
784,4
791,4
805,4
806,4
813,4
865,4
876,4
878,4
898,4
903,4
911,4
921,4
928,4
1010,4
1031,4
1063,4
1078,4
1115,4
1118,4
1156,4
1163,4
1166,4
1168,4
1240,4
1245,4
1327,4
1407,4
1461,4
1467,4
1469,4
1488,4
1489,4
1523,4
1546,4
1547,4
56,5
